geonameid,name,lat,lon,region,department,population,settlement_morpheme,naming_language,religious_element,ethnonym,ethnonym_stem,split_ordinal,patronym,patronym_group,eco_term,eco_kind,name_reuse_count
2252262,Djièye,13.11031,-16.21573,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252195,Djoumbel,12.935,-16.31722,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252297,Djowel Ouorgo,16.04747,-13.38082,Matam,Matam,0,,,,,,,,,,,1
2252194,Djringoumane,12.85528,-16.01806,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252580,Djégou,13.25989,-11.88351,Kedougou,Saraya,0,,,,,,,,,,,1
2252284,Djéné,14.5,-15.71667,Fatick,Gossas,0,,,,,,,,,,,1
2252193,Dobour,14.63819,-17.03289,Thies,Mbour,0,,,,,,,,,,,1
2252192,Dodel,16.48549,-14.42846,Saint Louis,Podor,0,,,,,,,,,,,1
2252191,Dodji,15.5315,-14.9517,Louga,Linguere,0,,,,,,,,,,,1
2252187,Doga,13.73333,-13.96667,Tambacounda,Tambacounda,0,,,,,,,,,,,2
2253393,Doga,14.83168,-15.50962,Diourbel,Mbacke,0,,,,,,,,,,,2
2252186,Dogade,14.9798,-15.79831,Louga,Linguere,0,,,,,,,,,,,1
2252185,Dogakè,15.3542,-15.7614,Louga,Linguere,0,,,,,,,,,,,1
13504728,Dogal Fal,14.9742,-16.558,Diourbel,Bambey,0,,,,,,,Fal,Wolof,,,1
2252181,Dogol,15.58333,-16.1,Louga,Louga,0,,,,,,,,,,,1
2252152,Dogui Dombi,16.26959,-14.07099,Saint Louis,Podor,0,,,,,,,,,,,1
13507464,Dokh,14.39061,-16.66065,Fatick,Fatick,0,,,,,,,,,,,1
2252173,Dokhali,15.5152,-15.8829,Louga,Louga,0,,,,,,,,,,,2
2252174,Dokhali,15.4831,-15.8385,Louga,Louga,0,,,,,,,,,,,2
2252179,Doladji,15.1732,-15.8914,Louga,Kebemer,0,,,,,,,,,,,1
2252169,Doli,14.78555,-15.82869,Diourbel,Mbacke,0,,,,,,,,,,,1
2252166,Dolol,15.57985,-13.09001,Matam,Kanel,0,,,,,,,,,,,1
2252164,Domak,14.73333,-14.83333,Louga,Linguere,0,,,,,,,,,,,1
2252418,Domb,14.6534,-16.27529,Diourbel,Diourbel,0,,,,,,,,,,,1
13507052,Domb Ndiagne,14.66526,-16.2838,Diourbel,Diourbel,0,,,,,,,,,,,1
