geonameid,name,asciiname,lat,lon,feature_code,admin1_code,admin2_code,population,lang_guess,name_root,name_dupe_count
2250779,Karabane,Karabane,12.55667,-16.70028,PPL,12,,0,,,1
2250777,Karakaéné,Karakaene,12.91667,-11.51667,PPL,17,,0,,,1
13658776,Karamba,Karamba,13.09986,-16.11217,PPL,12,2253903,0,Pulaar/Fulani,clan/family name root,1
2250776,Karamogobougou Sadirou,Karamogobougou Sadirou,13.78333,-13.75,PPL,05,,0,,,1
2250775,Karamoko,Karamoko,14.76667,-16.86667,PPL,07,,0,,,1
2571738,Karang Bah,Karang Bah,13.60185,-16.44412,PPL,09,,0,,,1
2250773,Karang Poste,Karang Poste,13.60661,-16.42427,PPL,09,,14624,,,1
2250772,Karanko,Karanko,12.97806,-16.52389,PPL,12,,0,,,1
2250764,Karantaba,Karantaba,13.6445,-16.41627,PPL,09,,0,Pulaar/Fulani,clan/family name root,8
2250765,Karantaba,Karantaba,13.08844,-16.71933,PPL,12,,0,Pulaar/Fulani,clan/family name root,8
2250766,Karantaba,Karantaba,13.05,-15.5,PPL,18,,0,Pulaar/Fulani,clan/family name root,8
2250767,Karantaba,Karantaba,12.99994,-16.55151,PPL,12,,0,Pulaar/Fulani,clan/family name root,8
2250768,Karantaba,Karantaba,12.93333,-14.28333,PPL,11,,0,Pulaar/Fulani,clan/family name root,8
2250769,Karantaba,Karantaba,12.77778,-15.47167,PPL,18,,0,Pulaar/Fulani,clan/family name root,8
2250770,Karantaba,Karantaba,12.73417,-15.80556,PPL,18,,0,Pulaar/Fulani,clan/family name root,8
2250771,Karantaba,Karantaba,12.68333,-14.7,PPL,11,,0,Pulaar/Fulani,clan/family name root,8
2250763,Karatchel,Karatchel,15.1524,-15.9471,PPL,13,,0,,,1
2250762,Karatchel-Ouolof,Karatchel-Ouolof,15.1394,-15.9557,PPL,13,,0,,,1
2250754,Kariaye,Kariaye,12.95806,-16.51917,PPL,12,,0,,,1
2250753,Karonko,Karonko,12.55,-16.18333,PPL,12,,0,,,1
2250751,Karoumbou,Karoumbou,12.57806,-15.44444,PPL,18,,0,,,1
2250750,Karounat,Karounat,12.47111,-16.52111,PPL,12,,0,,,1
2250749,Karounor,Karounor,13.15824,-16.10822,PPL,12,,0,,,1
2571698,Karounor Narang,Karounor Narang,13.16375,-16.32313,PPL,12,,0,,,1
2250748,Karsia,Karsia,12.81639,-15.16778,PPL,18,,0,,,1
2250746,Kartiak,Kartiak,12.86667,-16.51667,PPL,12,,0,,,1
2250747,Kartèlo,Kartelo,15.4146,-15.9417,PPL,13,,0,,,1
2250759,Karègne,Karegne,15.21667,-16.16667,PPL,13,,0,,,1
2250760,Karé,Kare,13.87017,-12.16073,PPL,05,,0,,,2
2252175,Karé,Kare,14.98347,-16.38029,PPL,03,,0,,,2
